City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max_Temp,Cloudiness ,Wind_Speed
Esperance,-33.8667,121.9,0,57,0,0,AU,1634949229,60.64,6.0,7.11
Tabou,4.423,-7.3528,0,90,0,0,CI,1634949229,76.42,57.0,6.53
Ambon City,-3.6954,128.1814,0,70,0,0,ID,1634949230,86.14,40.0,3.44
Tapejara,-28.0681,-52.0139,0,78,0,0,BR,1634949230,58.59,0.0,3.71
Khandyga,62.6667,135.6,0,92,0,0,RU,1634949230,14.9,99.0,2.68
Bud,39.447,-86.1758,0,95,0,0,US,1634949231,52.21,100.0,5.32
Iqaluit,63.7506,-68.5145,0,86,0,0,CA,1634948392,26.33,90.0,5.99
Yuzhno-Kurilsk,44.0306,145.8556,0,71,0,0,RU,1634949231,48.24,90.0,3.58
Birjand,32.8663,59.2211,0,16,0,0,IR,1634949163,32.47,0.0,6.91
Naze,28.3667,129.4833,0,56,0,0,JP,1634948676,70.72,55.0,15.14
Sittwe,20.15,92.9,0,83,0,0,MM,1634949231,76.19,100.0,3.94
Kumul,42.8,93.45,0,28,0,0,CN,1634949130,51.64,6.0,11.05
Bokoro,12.3807,17.0568,0,56,0,0,TD,1634949232,82.11,52.0,3.13
São Pedro da Aldeia,-22.8392,-42.1028,0,88,0,0,BR,1634948932,71.58,40.0,6.91
Losevo,50.6767,40.045,0,58,0,0,RU,1634949232,52.66,100.0,6.4
Sangar,63.9242,127.4739,0,95,0,0,RU,1634949233,19.44,100.0,6.13
Aksarka,66.5606,67.7975,0,97,0,0,RU,1634949233,25.83,99.0,6.76
Okhotsk,59.3833,143.3,0,74,0,0,RU,1634949233,21.83,31.0,14.05
Esfarāyen,37.0765,57.5101,0,24,0,0,IR,1634949233,29.86,0.0,1.36
Yangi Marg`ilon,40.4272,71.7189,0,65,0,0,UZ,1634949234,39.92,16.0,2.3
Izhma,65.0083,53.9113,0,99,0,0,RU,1634948694,33.15,100.0,6.2
Nobres,-14.7203,-56.3275,0,85,0,0,BR,1634949234,76.8,29.0,1.92
Ýpsonas,34.6884,32.9574,0,45,0,0,CY,1634949234,66.96,0.0,2.3
Husavik,66.0449,-17.3389,0,94,0,0,IS,1634949235,31.91,100.0,8.39
Laguna,38.421,-121.4238,0,61,0,0,US,1634949235,68.43,1.0,4.0
Büdingen,50.3,9.1167,0,91,0,0,DE,1634949235,48.88,44.0,3.15
Sumbe,-11.2061,13.8437,0,82,0,0,AO,1634949236,75.07,100.0,9.26
Pacific Grove,36.6177,-121.9166,0,84,0,0,US,1634949236,63.81,40.0,3.0
Kungurtug,50.5994,97.5228,0,59,0,0,RU,1634948680,26.49,29.0,1.32
Ponta do Sol,32.6667,-17.1,0,68,0,0,PT,1634949236,68.63,49.0,7.74
